"q = (0.000, 0.000, 0.000), band = 6"

"Modulation #","Q [amu^1/2 A"
"1","-5.0"
"2","-4.75"
"3","-4.5"
"4","-4.25"
"5","-4.0"
"6","-3.75"
"7","-3.5"
"8","-3.25"
"9","-3.0"
"10","-2.75"
"11","-2.5"
"12","-2.25"
"13","-2.0"
"14","-1.75"
"15","-1.5"
"16","-1.25"
"17","-1.0"
"18","-0.75"
"19","-0.5"
"20","-0.25"
"21","0.0"
"22","0.25"
"23","0.5"
"24","0.75"
"25","1.0"
"26","1.25"
"27","1.5"
"28","1.75"
"29","2.0"
"30","2.25"
"31","2.5"
"32","2.75"
"33","3.0"
"34","3.25"
"35","3.5"
"36","3.75"
"37","4.0"
"38","4.25"
"39","4.5"
"40","4.75"
"41","5.0"
