"U_0 [eV]","-12.644169"

"Q [amu^1/2 A]","U(Q) [eV]","dU(Q) [meV]"
"-3.5","-7.4573528","5186.8162"
"-3.25","-8.761038","3883.1310000000008"
"-3.0","-9.7725651","2871.6039"
"-2.75","-10.552641","2091.5280000000002"
"-2.5","-11.147747","1496.4219999999991"
"-2.25","-11.595616","1048.553"
"-2.0","-11.92743","716.7390000000005"
"-1.75","-12.16892","475.2489999999998"
"-1.5","-12.340994","303.1749999999995"
"-1.25","-12.460453","183.71600000000043"
"-1.0","-12.540667","103.50200000000065"
"-0.75","-12.592171","51.99799999999932"
"-0.5","-12.623064","21.105000000000373"
"-0.25","-12.639198","4.970999999999393"
"0.0","-12.644169","0.0"
"0.25","-12.639198","4.970999999999393"
"0.5","-12.623064","21.105000000000373"
"0.75","-12.592171","51.99799999999932"
"1.0","-12.540667","103.50200000000065"
"1.25","-12.460453","183.71600000000043"
"1.5","-12.340994","303.1749999999995"
"1.75","-12.16892","475.2489999999998"
"2.0","-11.92743","716.7390000000005"
"2.25","-11.595616","1048.553"
"2.5","-11.147747","1496.4219999999991"
"2.75","-10.552641","2091.5280000000002"
"3.0","-9.7725651","2871.6039"
"3.25","-8.761038","3883.1310000000008"
"3.5","-7.4573528","5186.8162"
